cena,cena_za_metr,metry,liczba_pokoi,pietro,rynek,rok_budowy,material,wojewodztwo,powiat,gmina,miejscowosc,dzielnica,ulica,link
795 000 zł,10352 zł/m²,"76,80 m²",3,1,wtórny,2001,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Antygony,https://www.otodom.pl/pl/oferta/osowa-3-pokoje-2-lazienki-balkon-ID4x9zL
680 000 zł,10510 zł/m²,"64,70 m²",4,2,wtórny,2001,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Bliźniąt,https://www.otodom.pl/pl/oferta/4-pokoje-spokojna-okolica-osowa-ID4xkZS
669 000 zł,12616 zł/m²,"53,03 m²",2,1,wtórny,2012,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Marsa,https://www.otodom.pl/pl/oferta/53m2-2-pokoje-narozne-sloneczne-2-balkony-garaz-osowa-gdansk-ID4xJFK
793 684 zł,9200 zł/m²,"86,27 m²",4,3,pierwotny,2025,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Planetarna,https://www.otodom.pl/pl/oferta/komfortowe-86-m2-4-pokoje-wyjatkowa-oferta-ID4xIUe
999 000 zł,12333 zł/m²,81 m²,3,parter,wtórny,2008,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Junony,https://www.otodom.pl/pl/oferta/komfort-przestrzen-i-prywatnosc-ID4vI7f
520 000 zł,11556 zł/m²,45 m²,2,1,wtórny,2000,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Daru Pomorza,https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-45m2-gdansk-osowa-ID4xsnH
620 000 zł,12917 zł/m²,48 m²,2,parter,wtórny,2017,,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Osowa,Antygony,https://www.otodom.pl/pl/oferta/mieszkanie-48-m-gdansk-ID4xsjw
359 000 zł,5698 zł/m²,63 m²,3,4,wtórny,1988,wielka płyta,Lubelskie,,,łęczyński,Łęczna,Wierzbowa,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-w-lecznej-ID4xysF
421 228 zł,11550 zł/m²,"36,47 m²",2,parter,pierwotny,2027,silikat,Łódzkie,Łódź,Łódź,Łódź,Widzew,Księcia Władysława Opolczyka,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4xF1U
438 064 zł,15200 zł/m²,"28,82 m²",1,4,pierwotny,2025,,Dolnośląskie,Wrocław,Wrocław,Wrocław,Krzyki,,https://www.otodom.pl/pl/oferta/wroclavia-las-rakowiecki-pod-inwestycje-balkon-ID4xOlG
506 484 zł,15744 zł/m²,"32,17 m²",2,1,pierwotny,2025,,Dolnośląskie,Wrocław,Wrocław,Wrocław,Krzyki,,https://www.otodom.pl/pl/oferta/a4-park-8-lub-23-vat-garaz-bielany-ID4xOlK
132 000 zł,10154 zł/m²,13 m²,1,3,wtórny,1920,cegła,Łódzkie,Łódź,Łódź,Łódź,Górna,Krucza,https://www.otodom.pl/pl/oferta/kawalerka-blisko-centrum-idealna-na-wynajem-roi-10-ID4xOlj
525 172 zł,12750 zł/m²,"41,19 m²",2,1,pierwotny,2025,,Dolnośląskie,Wrocław,Wrocław,Wrocław,Krzyki,,https://www.otodom.pl/pl/oferta/gotowe-garaz-balkon-dla-os-niepelnosprawnych-ID4xOlH
501 298 zł,13192 zł/m²,38 m²,2,parter,pierwotny,2026,,Dolnośląskie,Wrocław,Wrocław,Wrocław,Fabryczna,,https://www.otodom.pl/pl/oferta/stadion-jasne-duze-okna-garaz-aow-lotnisko-ID4xOlL
752 136 zł,13200 zł/m²,"56,98 m²",3,1,pierwotny,,inny,Mazowieckie,Warszawa,Warszawa,Warszawa,Targówek,,https://www.otodom.pl/pl/oferta/promocja-oszczedzasz-teraz-pana-47-000zl-piekny-projekt-blisko-metra-ID4xs4S
1 088 510 zł,9990 zł/m²,"108,96 m²",5,parter,pierwotny,2025,,Dolnośląskie,Wrocław,Wrocław,Wrocław,Psie Pole,,https://www.otodom.pl/pl/oferta/osiedle-willowe-parter-duzy-ogrod-86m-park-ID4xOlE
549 000 zł,17156 zł/m²,32 m²,1,3,wtórny,1965,,Mazowieckie,Warszawa,Warszawa,Warszawa,Mokotów,Orzycka,https://www.otodom.pl/pl/oferta/mieszkanie-przy-galerii-mokotow-ID4uHNB
975 000 zł,13929 zł/m²,70 m²,4,2,wtórny,2019,,Podlaskie,Białystok,Białystok,Białystok,Sienkiewicza,Jurowiecka,https://www.otodom.pl/pl/oferta/apartamenty-jagiellonskie-4-pokoje-nowe-taras-kom-lokatorska-ID4xAhp
568 251 zł,10300 zł/m²,"55,17 m²",3,1,pierwotny,2025,,Pomorskie,,,gdański,Pruszcz Gdański,Mazepy,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-w-spokojnej-okolicy-ID4xOlC
1 036 300 zł,12050 zł/m²,86 m²,4,1,pierwotny,,,Mazowieckie,Warszawa,Warszawa,Warszawa,Targówek,,https://www.otodom.pl/pl/oferta/promocja-oszczedzasz-ponad-56-000zl-projekt-blisko-wisly-ID4xrRh
